text,stars,complaint_category,complaint_label
"really, i can't believe this place has received such high reviews from people. my lady and i walked in, and were greeted rather rudely by a pretentious bitch at the front with a monotone ""name please?"", instead of a warm, friendly, french welcome to this rather charming looking place. we didn't have a reservation, which from the looks of how dead empty the place was, didn't seem like a problem. until the hostess whisked through her reservation list and explained she'd try to ""fit us in"". it was 6pm, the place had one other couple dining, and we were informed that the next party was arriving at 7 30. we weren't really looking to hang out. it would have be awfully lovely if yelpers would have informed of the need to make reservations before going in here, because if you don't, you're automatically a piece of shit according to the staff. sorry, i don't plan very much ahead. next time i will, and it won't be here. anyways, after debating for a minute or two with herself, the hostess decided we could ""squeeze in"" and sat us right on top of the other couple inside the restaurant. she informed us that we could cork our own wine, for their low low price of 9 fucking dollars. in words only office space could adequately describe,""coup des tartes, what is it exactly that you do?"". the food was good, nothing spectacular for 25 a plate. we got a salad with apples and nuts and bleu cheese, which was served warm. now this is the first warm salad i've had all of my life, and by no means am i some sort of wordly food expert, but i believe salad should be cold and crisp. not soggy and warm. yuck. the cordon bleu was tasty and filling, however, the wobbly table was an extreme annoyance when cutting through the chicken, but it was solved with no thanks to the staff by placing a jack-in-the-box gift card under the leg. i will admit, the mashed potatoes are some of the creamiest and best i've ever had. my lady got the pork tenderloin, which had a strange peppery-sweet pairing which i didn't particularly care for. we were broke for desert, so unfortunately we didn't get to try any tarts. you would think for a place that promotes itself as being so poise would get some fancier menus, other than a .15 piece of cardstock copied in bulk at kinkos. this place was rather disappointing. i honestly thought it would be way more comfy and welcoming inside but it really wasn't. it presents itself as being so high class and french and oh-la-la wee wee, but when it comes down to it, it's still located in a tiny shack of a house at 16th street and highland. maybe if it were located in the biltmore i'd give it a bit more cred.",1,Food Quality,0
"i was really excited about this event, maybe my expectations were too high, because i was really underwhelmed. very little shade, ran out of water, by the time i got there at 1pm other obligations 20 of the vendors were out of food, and by the time i ate my way through some, everyone else was already out. 60 bucks for that? i don't think so. and when i mentioned it to ""the person in charge"", he was patronizing, invalidating and kept telling me how happy the chefs were. well, i'm your consumer, big guy. sorry, devoured, wish it could have been better. what food i did try, was pretty good.",1,Food Quality,0
"the beach paradise of ixtapa-zihuatenejo awaited us.unfortunately, so did a connecting flight in arizona of all places. long story short.1 3 of our luggage did not arrive at our final destination, various articles of our clothing are still missing as well as my cell phone charger.not to mention security forcing us to open sealed containers of my son's baby food and milk for litmus tests. i looked on the bright side.at least we didn't get deported",1,Food Quality,0
"see the huge sign outside that says 2.50? yeah, that's for shirts only. i was caught off guard when i brought in my skirt and got nailed for about 3.79. as i sadly handed over my 5 bill, the lady at the counter said a lot of people had told her they felt betrayed by the sign outside. no kidding. i had originally been heading down the street to regal on 7th ave.--who does a fine job in half the pickup time--for the ""advertised"" fake price here. trying to make the best of it, i told the lady at least i'd learned they had an onsite alteration service, and maybe that was worth a buck. uh oh. picked up my skirt a few weeks later with some jersey shore-type chick at the counter, and was told i owed another 3.79. i flat-out refused to pay twice. she screamed at me, chased me to my car, wrote down my license plate and said the police would be visiting. ni-i-i-ice.",1,Service Delay,1
this is my first time back in years. it will be my last. i was in the bar area for lunch it was almost 1hour 25 min before i could get out. ten min before my drink order and almost as long before food order. a secound drink forget it. guy next to me walked out.,2,Food Quality,0
unless you are a regular or look like your wallet is fat don't expect the best service. entrees cost about 20-38 bucks and anti pasta runs between 5-20 desserts are all 8 bucks unless you get aged balsamic vinegar. they also have a big cheese selection. i made reservations for this restaurant and they sat us by the back door. the waiter never once explained anything on the menu or suggested a wine to go with our meal. he didn't even tell us about the cheese menu except to check on the one we wanted. the other waiter for a table near ours went out of his way to explain the menu and go as far as to tell his tables how to eat the cheese it comes with jelly's and such . my meal was good i had the duck. she had the salmon which tasted very fishy. not fresh at all. the wine was 40 bucks for a carafe maybe if we would have got a 100 dollar bottle we would have gotten better service the dessert was good it was a rich chocolate cake with nuts and chocolate sauce. nothing too special. overall the experience made the meal not worth the 115 bucks in these times not to mention they overcharged my girls card for the drinks at the bar. if we dont want to give 25 don't charge it plain and simple. just a warning reservations and customer service mean nothing. we mentioned our complaints to the waiter and manager. we received an apology but how bout comp our dessert or something. hyatt gainey staff is also rude for the most part. two thumbs way down.,1,Food Quality,0
"take your money elsewhere, unless you've got kids. i really try to like this place. a family member signed me up for the discount card, so i've been going more often, but i just don't love it. it's simply ok, but the prices are outrageous. and the sounds and animatronics are a huge distraction from the so-so food. the cocktails are alright, but, again, the price is not right. the ony thing fun about the place for an adult is the gift shop and the light-up cocktail glasses which cost extra. i've seen a lot of happy families in here though, so i bet it's better if you have little ones to bring along.",1,Food Quality,0
"my friend kept telling me how good their lunches are. i tried it, but it didn't do anything for me. the sandwich tasted like something you can get at safeway, but twice the price. for being called a purveyor of fine foods, i expected the food to taste like not just any ordinary sandwich. what i had ham, cheese with portobello mushrooms on a panini with 2 sides of pasta, one was parmesan and the other was macaroni. maybe it was the panini bread. i think the parmesan pasta was made there, but i know for sure the macaroni was not made there, it tasted like something i had at a picnic which was in a carton. it wasn't anything to brag home about. i found out the head chef made my sandwich. keep him in the kitchen and away from the customers, no personality whatsoever. i asked for his suggestion, and his reaction was ""anythings good."" normally, when i go to aj's, i go for their desserts. their desserts are fabulous and you can get individual servings at a reasonable price. i can take an assortment home and have them for later. our company does use them for their catering and i've had many compliments on their dishes, but pass on the lunches.",1,Food Quality,0
"i feel the days inn tempe is best described as ""a place where you can purchase the right to sleep for awhile."" i booked my 10-night stay on travelocity for a non-smoking room, yet when i entered the room i almost choked. it was disgusting. i've never had a smoking hotel room before and i will make sure i don't again. they said they couldn't move us to a different room. my local lady friend brought over a bottle of wine but forgot a corkscrew. no big deal, i thought to myself, as the front desk of a hotel will surely have a corkscrew. nope. coors light it is. the towels felt like they were made of cow tongue, and they missed our wakeup call one morning making me late for a training class that had cost me about 500. i'm awarding one star in addition to the minimum one-star rating because i got to drink cheap beer by the pool in 90 degree weather for 10 days, and there are a few good places to eat and two dollar stores very nearby. the dollar store had a corkscrew.",2,Pricing Issue,3
"absolutely horrendous. this post office will lose your mail repeatedly , laugh about it to your face, lie about it, blow it off, make it seem like it's your fault and make you wish you had sent it ups.",1,General Dissatisfaction,5
"i'd love to give these guys a better review, because they were very friendly and professional. however, i was very dissapointed with the service i received. i'll type the one sarcastic comment that i can't get out of my head and then i'll get to the more substantial feedback. i thought a detail was supposed to be a little more detailed. here are the positives, because i want to give credit where credit is due. the guys come to you and are very polite. they were a little delayed, but called to let me know which i appreciated. also, they do a great job at steam cleaning the carpets and the exterior wax job was awesome. on to the negatives. when i came out to see the work they did, i immediately noticed several smudges in the interior which they cleaned after i pointed them out. also, i noticed a scratch on the passenger side leather seat and a hole punched in the carpet near the pedals. anyone who knows me knows that i am a detail oriented person. those defects were not present in my car prior to this job. to add to this bit of a let-down, a day later my boyfriend and i noticed that they didn't even touch my trunk! they didn't even bother to vacuum it out! when you advertise on your website ""showroom quality,"" i expect showroom quality. overall review good job on the exterior, attention to detail in the interior was very poor. i am really dissapointed that the attention to detail just wasn't there. i was expecting so much more from a detail job.",2,Service Delay,1
"other than the really great happy hour prices, its hit or miss with this place. more often a miss. the food is less than average, the drinks not strong at least they are inexpensive , but the service is truly hit or miss. i'll pass.",1,Food Quality,0
"went here for the first time a few weeks ago. the owner was snoring when i walked in, so that was odd and kind of a turn off. their regular manicures are cheap- 10, but the experience overall was so-so. it got busier as my manicure was going on, so it got a little better. parking is pretty bad.they have approx. 3 spaces. manicure was fine.have a range of opi but all their polishes were jumbled together which i hate. overall, for a few dollars more there are better places, even down the street.",2,Pricing Issue,3
"been here for many years but have seen a recent decline in quality service. felt scolded by the bartender today at lunch. felt disrespected as a customer. service sucks stay away. ""bad service bad review""",1,Service Delay,1
"been there, done that. fair sandwiches better than safeway, anyway . only 2 stars since i didn't know about the free soft serve, so didn't get to try that. there's gotta be a good new york-style deli west of the 17 and north of thunderbird. isn't there? doesn't have to be great. good would be wonderful.",2,General Dissatisfaction,5
meh.decent filibertos knockoff but the place feels like a major health hazard considering how new it is. just think filibertos with less quality control and smaller portions.,2,Food Quality,0
"eewh! yuck and wtf!? this barnes noble book store sucks for sitting back, relaxing and trying to read. i know it is not a library, and i don't expect it to be. but, come on - you can at least have some sense of trying to keep the noise level down and have some cozy seating. and. yikes! the people here are gross. they had some couch-chairs to lounge in and they were - in all of their grossness. and they were reading magazines of all things. wtf buy it and go home and let your kids do kart wheels there. eewh! then, those of us who actually purchased books and were trying to peacefully read them were in the cafe' - sitting on their dirty wooden benches - where i guess the servers there think that part of theirs jobs in serving coffee is to do a drum solo every time they empty the used coffee grinds into the trash can - which was about every 5 minutes. yeesh! luckily, i had my ipod. it was blasting and i still could hear them banging away. it was not a very cleanly area either. i was going to ask if they had wifi but i just high-tailed it out of there instead. this place is small too and their book selection is limited. i have been looking for a place to go to read, work and drink some coffee in my area arrowhead and this one is definitely crossed off of my list. come here to try and find a book but don't come expecting to kick back and enjoy your novel or what have you. if you like people watching though, this may be your place. there are all kinds here. ps and i left my fav coffee mug at this crappy place - like i will go back and get it. i think i would burn it first - bummer!",2,Service Delay,1
this place is not there anymore.,1,General Dissatisfaction,5
"rarely do i give a 1 star rating but after four attempts in four months to get my fax line and internet rolling i can honestly say they have earned this. after finally showing up for a scheduled appointment the tech told us our internet was fine but we disagree because we are getting the same speed we had with qwest in cave creek slow and they are charging us 64 a month for what they call the upgraded 20mbs. furthermore, i tried to send out a couple faxes after he left and the line is not responding. im going to drive down to the store tomorrow and demand that they remove the fees for service i have not received and just get efax. as i noted in the first review we were excited to upgrade to faster internet so that makes this experience even worse.",1,Service Delay,1
"so, i went because of all the hype. immediately, realized how overrated it was. the ambiance is like a chilis but trying to be mexican.",2,General Dissatisfaction,5
"what a load of absolutely hideous, uninteresting crap. take every single one-star review written by yelpers below, copypaste them here and you will have a far more eloquent summary of my feelings on this place than anything i can come up with. i have no reason to ever come here. certainly not free will. the one time i did come here i was forced to by a friend who was meeting another friend.",1,Pricing Issue,3
"my girlfriend liked this place more than i did. it may be that i'm spoiled by eating asian food in the bay area, but this place just didn't cut it. unfortunately we both got red curry based dishes, so my experience was fairly limited. i got duck w red curry, and was not very impressed at all. the duck was tasty, but the curry was very bland. honestly had i not been told it was curry, i wouldn't really have identified it as curry. the duck came with some plain steamed vegetables on the side, which as the meal went on, served to further water down my already bland curry sauce as the veggie water moved around on the plate. in addition to the curry lacking flavor, the vegetables really needed a boost as well. they should have been stir fried, or been served with a sauce of some sort. the service was ok, but not great. there was only one other table in there, and the waitress seemed to forget things, and when we asked her about the meals, i felt like she was giving us canned answers of ""everything is good, just order something so i can go home"". admittedly it was about 30 or 45 minutes before they closed, so that may have had something to do with it. it wasn't a bad meal by any means. it accomplished the goal of providing nourishment, and was better than bringing mickey d's back to the hotel room, but i won't be going back. the yelp definition of 2 stars is ""meh. i've experienced better"", and i think that description fits my meal perfectly.",2,Food Quality,0
"wednesday 7pm. this place is your average over priced, lack of taste chain food restaurant and this place was no different. i have to say, i was super disappointed as i have always heard rave reviews, now i'm starting to question who i associate with and their taste in food. service slow. food just tastes like salt noise loud and they do a dance.like a lot. go somewhere else and skip joe's crabs.",1,Food Quality,0
"i had not been to an oregano's in like 10 years. they seems to be popping up all over here in az now so my buddy was in from out of town and he wanted to try, so why not. i'll tell you ""why not"". we has two thin crust pizzas. and i even hate to call them that. more like. crackers with melted cheese and some toppings. that was some of the worst excuse for pizza i've ever had. most of the fast-food delivery pizza i've had beats it -- and i do not like, at all, delivery pizza. maybe the pan pizza is better than the thin crust. god it could not be worse! it only deserves one star for the good service. other than that is the another sub-par overpriced ""gourmet"" pizza joint. if you want expensive, and good, pizza there are many good alternatives. pizzeria bianco, grimaldi's, etc.",1,Food Quality,0
"ate here months ago. was excited to finally find a phoenix sushi venue, and one that also offered brown rice as a sub for sushi dishes don't quote me on this however, since it has been many months and i may be recalling another venue . one item did impress me, and that was the complimentary appetizer that was comprised of tempura'd chips with perhaps a squid salad topping ? i should have just ordered another serving of this! instead, i tried an ao yasai mixed gourmet greens with ginger and a sushi roll w brown rice, the latter i thought was price-y considering the very small portion given. i was so unimpressed by its unexciting flavors that i don't even recall what kind of roll i tried! pretty sad, i know. i told myself i wouldn't go back, but i would like to give hana another try, perhaps for lunch and or dinner with a group of friends and have apps and wine sake!",2,Food Quality,0
"i've never eaten at this location both times i've had it was to-go. the first time i had a pulled pork sandwich, and a side of the beans. the pork was extremely dry and tasteless without the sauce. the sauce i found was overly seasoned. and the beans had way too much pepper. the second time i had hb's was a work lunch that we had this delivered. once again, the pork was completely dry, but not as dry as the pulled chicken, which my coworkers complained about. i prefer hap's bbq over this place for sure.",2,Food Quality,0
"the actual restaurant is fine, the service is friendly and good. i am not going to go in to the food other than to say, no. oh well 340 bucks and all i can muster is a no.",2,Food Quality,0
"i recently had a shit cleaned at the intercontinental hotel in hong kong. not cheap. i only mention that because this place charged more to clean that suit - almost 30 for a two-piece suit after they tacked on their 6 ""designer brand"" surcharge no, i am not kidding . despite branding as ""green"" the suit still reeked of solvent the green, silica-based solvents have never left an odor in my experience . no differentiation to justify these absurd prices - a lot of good alternatives in the area. be warned!",1,Pricing Issue,3
"i used to frequent the lost leaf almost daily starting the day they opened, unfortunately i cannot say the same anymore. i used to love the refrigerator full of beers, the music, and the cool little home, not to mention the biggest thing, the promise of a full bar. now, everytime i go there it's full of douchebags, they are out of the beer i want, and the music has somehow become sucky. perhaps the biggest kicker. there is still no full bar! the servers are surly kids, who have the audacity to tell you were you cannot stand, seemingly forgetting they work in the hospitality industry. if this were a city with a ton of good bars, that would never fly. but since they are one of the only games in the area, most people go back just out of convienence. the last time i was there, we coaxed a bum to dance to 1920's tunes that were being played out of the treehouse out front. that was about the only redeeming quality. and i swear if i see one more dude with girls jeans trying to look cool with a bomber of the worst beer imaginable i'm gonna snap. thanks for ruining what could have been an awesome hang out spot guys.",2,Staff Behavior,2
"my first visit was roughly two weeks ago when i got a mediterranean pizza over lunch. service was friendly and prompt and the whole meal cost 4. today, i stood around waiting for help for about 5 minutes without anyone so much as saying 'hi.' one employee looked at me several times but ultimately went back to stocking shelves each time. i could see people in the back and the general manager talking on his cell phone. i decided to ultimately leave rather than waste any more time. disappointing at best.",2,Food Quality,0
"where are the managers? it took 1 1 2 hours for our meal to come out at 8 15 in the evening. items came out at different times so we couldn't all eat at the same time. the asparagus tempura was inedible because they didn't cut the ends. waitress just took it away and did not comp us. waitress knew next to nothing about the sushi menu. she sat and talked with the hostess the entire time instead of waiting on her tables. food was way over priced, and i couldn't speak to my dinner companions because the music was way to loud. one of the worst dining experiences in a long time. paid 70 for a dinner for 4 and went home hungry. horrible!",1,Food Quality,0
"ugh.i had never been to a waffle house, but my southern friends who frequent them a lot back home convinced me to try it out for a late night creep. the food is just sub par and sits hard in your belly. all i ordered was waffles and i wasn't impressed. i do appreciate that they are open late, so i wont' ""throw the baby out with the bathwater"". the cocoa was cool and the server was cute, sweet and attentive. fortunately for me, my taste buds are already spoiled with the good egg. i'm so sorry i cheated on you baby!",2,Food Quality,0
"on a early saturday evening, the band was playing the crowd was just starting to meander in. going further inside in an attempt to avoid the high volume of the band whose audio was piped in throughout the restaurant i failed i realized shortly that i must of been missed siting in the middle of the dinning are as the wait staff moved smartly from the kitchen to the front delivering the drinks and food to the patrons. i ask a member of the staff was i sitting in the wrong area and soon service was rendered. food, nothing special but it is more of a bar than a restaurant. although the atmosphere was unique, i do have a question why cameras were in the mens room.",2,Food Quality,0
"wed-sat, sit at the bar and ask for bartender joy. she's a gas! great spot for a late-afternoon glass of wine with an appetizer. mostly poor execution from kitchen, excellent service. --hummus appetizer with sample of olives is great choice --crispy plantains with pepper are tasty and fun, crab dipping sauce, not enough crab --tuna salad with arugula, uninteresting --side salad for ciabatta ""sandwich"" typical dole bag mix first visit was wilted and nasty. shame! --chicken salad with dried tomatoes and goat cheese way too much cheese now, to joy. she's a keeper. first visit, we struggled with the proper preparation of a sapphire martini, but it was primarily the fault of our server's communication skills. working with machine-made ice you know, the stuff with all the flecks and shards that water down a proper martini , she primed the ice with a squeeze of lemon, drained, then prepped the glass with vermouth, in and out, then pour the stirred sapphire in, drop twist! congrats, my lady. if you can get past the chick-chosen wallpaper wrong and perfect-sphere fake tabletop plants from restoration, the different-height tables mix up the room just right and make it feels shabby chic without the white. say hi to joy.",2,Service Delay,1
"still quite poor both in service and food. maybe i made a mistake and ordered sichuan gong bao ji ding for what seemed like people from canton district. unfortunately to get the good service u have to speak mandarin cantonese. i do speak a smattering but try not to use it as i never feel confident about the intonation. the dish came out with zichini and bell peppers what!? where is the peanuts the dried fried red peppers and the large pieces of scallion. on pointing this out all i got was "" oh you like peanuts. ok i will put some on"" and she then proceeded to get some peanuts and sprinkle it on the chicken. well at that point i was happy that atleast the chicken pieces were present else she would probably end up sprinkling raw chicken pieces on it like the raw peanuts she dumped on top of the food. well then i spoke a few chinese words and the scowl turned into a smile and she then became a bit more friendlier. unfortunately i do not condone this type of behavior. it is all in poor taste.",1,Food Quality,0
"was extremely psyched to try lobby's, considering all of the great reviews, but i was sadly disappointed with the results. i'm a freak for chili burgers good ones are very difficult to find and the lobby's chili burger was fairly dull, featured cinci style chili blah and like. some sort of cheese whiz kinda crap. boo. also ordered fries, and a chicago dog. the chicago dog was overpriced and forgettable, and the crinkle cut fries were reminiscent of del taco's. which isn't exactly a bad thing, but considering that lobby's is supposed to be a tasty, quality burger place, frozen crinkle fries are kind of a half assed approach. also the amount of salt on the fries was enough to invoke a stroke! x finally whoever dude was that handed me my bag of food was all like zippy doo i gave you a cup of french fry sauce. there were two orders of fries. one cup of sauce. which was just basic secret sauce. not super great. secret sauce, to boot. thanks bro, but i don't need any secret sauce favors.",2,Food Quality,0
"first, i hope la fonda management reads these reviews and takes steps to improve their restaurant. second, we miss the bloody mary bar too. hubby i visited lf a few weeks ago on a saturday night for dinner. we asked the waitress a general question about a beer and she made something up that was ridiculously wrong. okay, she doesn't know beer. we liked the chips salsa, it was a good start, then i took a sip of my water. what the? i know what tempe tap water tastes like, but this was weird. the aftertaste made me cringe, i couldn't drink it, even with a slice of lemon in it, maybe it was the ice. hubby ordered chicken enchiladas, which he orders practically everywhere, and it was so bad he didn't finish it. my meal was not memorable either. i wanted to love this place, or at least like it. we walked out of there terribly disappointed, i doubt we'll go back.",1,Food Quality,0
"i'd say i've been to the clubhouse a few times a year over the past five years or so. does that make me the most knowledgeable person on the venue? by all means, no. but, there are some very common themes among the shows i've seen here, even though the artists were different genres, different, crowds, and even different times of year. the sound quality is terrible. the last three bands that i have seen there and have seen in other venues as well all complained that they couldn't get the sound right on their monitors or in the house. to me, that's a major turn off, if the band isn't happy with their sound, are they going to be very motivated to play? maybe it's a slighted observation, but it seems that the only bands that return to this venue, are the ones that play music, where the sound quality isn't.let's say ""sacrificed or as important"" metal, hardcore, thrasher, hip-hop, whatever you call it . the venue is also hot. i don't read the reviews of others, before i review a location, because i don't want my opinions to be skewed, but i noticed someone said, ""don't wear pants,"" honestly, that's a really good tip. the last show i saw here was in june. i know, it's phoenix, in the summer, suck it up. but when you exit the venue and it is noticeably and significantly ""cooler"" than inside the venue, we've got issues, can they not afford to run the a c? the answer to that question is, maybe not. the bar is understaffed, and patrons seem to be lined up 3 deep, all around. sometimes you've got to spend money to make money. hire more bartenders, customers get served faster, thus allowing them more time to consume the beverage and purchase more. that means you can sell more, which means you will make more money! what a concept. hate to just destroy a business, but hopefully they will heed the feedback constructively. until then, remember if you've always wanted to hear the artist you are going to see in a low-fi format, here's your chance, if you have always wanted to forgo wearing those pantaloons, i support you, and finally, you should craft a clever way to hide a flask, since you won't get served, although this might be difficult sans bottoms.",1,Service Delay,1
"back from holiday and had some amazing soups that made me reflect back on my experience here. i have to preface this review with that the owner here is quite lovely and i'm sure has the best intentions, but unfortunately the soup was sorely lacking. as a proponent of organics, i had my hopes way too high. well, first of all it was a bit confusing if we were to order at the counter from a very smudged, unreadable chalk board or if we were to be seated. the owner appeared from the kitchen and said to have a seat eliminating our initial confusion. to keep this review to the point, we ordered a smoothie, bland. a frittata, very small and actually strange as if it might have been cooked in the microwave, need i say more. two bowls of soup, one was a bean with kale, unfortunately the beans were not thoroughly cooked and the flavor was not allowed to develop. the other a red pepper concoction, that another diner suggested, was one dimensional and needed copious amounts of help sprinkled with some love. when paying these boutique prices one expects and should get a better quality, culinary creation. these soups needed proper development and herbal infusions that the kitchen obviously lacks. i would like to offer a suggestion that may help her, so she can spend more time with the soup prep and less time running around the table up front, and that is to consider a different style of service. the place is so small that she could have customers order from the chalkboard, if readable, and then deliver the orders. i wish her the best in her endeavor.",2,Food Quality,0
"not that any sbux is worth going out of your way for, but this one is worth skipping. the service i've experienced each time i've been is pretty dang poor and the drinks always seem quite cold.",1,Service Delay,1
"how does this restaurant generate so many 4 and 5 star ratings? i know it was on the food channel, but honestly the food was sub-par. maybe it was just an off day, but i have a feeling it wasn't. the prices were not outrageous, but it wasn't cheap either. the atmosphere was nice, if very cafeteria like. but the food was way way too ""greasy."" and bland. and my stomach now aches after eating there.",1,Food Quality,0
it seems like there is not as much value for your dollar at gold medal. we had been there since the new school opened but decided to move on. we got a 'can't we get you to stay' call which felt like desperation on their part. my daughter enjoyed her lessons but her favorite teacher left as most do and the cost was not worth it anymore. i would not recommend them to my friends.,2,Pricing Issue,3
"i went here with a friend to use a groupon for a gel manicure and a spa pedicure. i knew it was a school going into the appointment. my issues with the place are as follows 1. the students there were very unprofessional. they talked about their personal lives, talked to each other, and just were generally inappropriate for a business setting. their supervisor overheard everything and did not say anything. this is pretty disturbing since some of these girls stated that they were going to work at places like dolce in a few weeks. 2. the gel manicure was billed as 'unchippable' by the people at this salon, but my friend had one whole nail peel off the day after the manicure and my nails chipped 2 days after. this is especially annoying because it is difficult to remove the polish that remained on my nails, so they just look bad. 3. the massage was pretty weak. 4. they don't have enough carts for pedicures, so i had to put my foot up on my 'pedicurist's' lap.that's a bit odd. 5. it was difficult to make an appointment here. i had to call several times and leave messages and wait for them to call me back. overall, i would not return to this place, even at the cheap price. i guess you get what you pay for.",2,Service Delay,1
"my wife and i live around the corner, hadn't eaten here in a few months. we got food for take out, mongolian beef,kung po chicken,pad thai noodles. mongolian beef, there were more white onions then scallions and it was very bland. kung po chicken,lots of white meat chicken the whole dish only had one peanut and the taste of this dish was non existent. very very blah. pad thai noodles,the dish was dry and came out of the container in one giant clump. it tasted like plain noodles, i was glad i had peanut sauce in the fridge to,add to it. then it was edible . we will not be going back to very disappointed ! from now on it will be jade palace on 92nd street. for take out asian ! do yourself a favor go elsewhere !",1,Food Quality,0
"- the location is excellent - the food is mediocre, and milder than they advertise - the wait staff is polite and bland. at several opportunities, they were missing for more than 5 mins. - the bill will be higher than anyone expects bottom line don't bother",2,Food Quality,0
