review_id,review_text,complaint_label,severity_label,stars,sentiment_label
RC000015,"This was my first time here, and the table was sticky and clearly hadn't been cleaned before we sat down. It wasn't a huge deal, but it was noticeable.",Cleanliness Issue,Low,2,Negative
RC000016,The prices at this hospital felt very fair for the quality we received. I'd definitely recommend this place to friends.,Pricing Issue,Low,5,Positive
RC000017,"Overall, our pancakes came out quickly, no waiting around at all.",Service Delay,Low,5,Positive
RC000018,"Honestly, the cashier was polite, patient, and genuinely seemed to care about our experience. I'd definitely recommend this place to friends.",Staff Behavior,Low,5,Positive
RC000019,"I specifically asked for no onions in my pizza slice but they added them anyway. This really ruined the experience for us. Worse still, I was honestly shocked at how rudely waitress spoke to me over a minor issue.",Food Quality,High,2,Negative
RC000020,The eatery was spotless from the dining area to the restrooms.,Cleanliness Issue,Low,5,Positive
RC000021,"Between the slow service, the mediocre food, and the noise, the whole visit was a letdown. Worse still, we were charged for two extra mutton curry that we never received.",General Dissatisfaction,Critical,1,Negative
RC000022,"Not going to lie, the prices at this meal delivery platform feel really steep for what you actually get. I'm honestly considering filing a formal complaint over this. In addition, we stood in line for ages with no updates on how much longer it would take.",Pricing Issue,Critical,1,Negative
RC000023,The bowling alley was spotless from the dining area to the restrooms.,Cleanliness Issue,Low,5,Positive
RC000024,"The washroom floor was wet and grimy, definitely not up to standard. It put a damper on what should've been a nice visit. The restroom smelled bad and looked like it hadn't been cleaned in a while.",Cleanliness Issue,Medium,3,Neutral
RC000025,"I have to say, the cashier was outright rude to us when we asked a simple question.",Staff Behavior,Medium,3,Negative
RC000026,It took over an hour before anyone even brought our order out. It was a pretty disappointing visit overall.,Service Delay,High,1,Negative
RC000027,"This was my first time here, and the biryani had ingredients I didn't order and hadn't asked for. It was a pretty disappointing visit overall.",Food Quality,High,1,Negative
RC000028,"I've visited a few times before, and the queue at the water park barely moved for a long stretch of time. This felt like a genuine safety concern, not just bad service. We stood in line for ages with no updates on how much longer it would take. To make matters worse, we had to ask staff to clean our table because it was left messy. I am seriously considering never returning and warning others.",Service Delay,Critical,1,Negative
RC000029,"The wait time was ridiculous, nearly an hour for a table that was supposedly reserved. It put a damper on what should've been a nice visit. We sat there for what felt like forever before the fried rice finally showed up. It left me a bit disappointed, honestly.",Service Delay,Medium,2,Negative
RC000030,"This was my first time here, and my pasta had a weird sour taste that made me suspect it wasn't fresh anymore. This crossed a line and needs to be addressed urgently. On top of that, I saw a cockroach scurry across the floor near our table.",Food Quality,Critical,1,Negative
RC000031,"I've visited a few times before, and between the slow service, the mediocre food, and the noise, the whole visit was a letdown. This crossed a line and needs to be addressed urgently. As if that wasn't enough, we had to ask staff to clean our table because it was left messy. I'm honestly considering filing a formal complaint over this.",General Dissatisfaction,Critical,1,Negative
RC000032,"All things considered, the beauty parlour was reasonably clean, though a couple of tables could have used wiping down. It was a fine experience overall, nothing more nothing less.",Cleanliness Issue,Low,3,Neutral
RC000033,The final bill had extra charges we were never told about beforehand.,Pricing Issue,High,2,Negative
RC000034,"The chicken curry lacked any real flavor, it tasted like it was made without much care. It wasn't a huge deal, but it was noticeable.",Food Quality,Low,3,Neutral
RC000035,"Not going to lie, my payment failed at checkout but the amount was still deducted from my account. It wasn't a huge deal, but it was noticeable.",Pricing Issue,Low,4,Neutral
RC000036,"Everything we ordered, especially the chicken curry, was fresh and packed with flavor. I'd definitely recommend this place to friends.",Food Quality,Low,4,Positive
RC000037,"The stylist walked past our table repeatedly without ever checking on us. It wasn't what I expected for the price I paid. As if that wasn't enough, I have a nut allergy and the fish fillet came with nuts despite me mentioning it clearly. It put a damper on what should've been a nice visit.",Staff Behavior,Medium,3,Negative
RC000038,"To be fair, the guest house was reasonably clean, though a couple of tables could have used wiping down. It was a fine experience overall, nothing more nothing less.",Cleanliness Issue,Low,3,Neutral
RC000039,"Honestly, there was an unexpected delivery fee added at checkout that wasn't shown earlier. I am seriously considering never returning and warning others. We were hit with an unexpected packaging charge that wasn't mentioned during ordering. I am seriously considering never returning and warning others.",Pricing Issue,Critical,1,Negative
RC000040,"Pricing was reasonable overall, though the sushi roll felt a touch expensive for the portion. It was a fine experience overall, nothing more nothing less.",Pricing Issue,Low,3,Neutral
RC000041,"There was an off smell to the ramen bowl that made me think it wasn't fresh. I was genuinely frustrated by the end of it. The bread in my masala dosa was stale and hard, definitely not freshly made. I don't think I'll be coming back after this.",Food Quality,High,1,Negative
RC000042,"To be fair, nothing wrong with how the stylist treated us, just fairly standard interaction. It didn't blow me away, but it didn't disappoint either.",Staff Behavior,Low,2,Neutral
RC000043,"Great value for money, especially considering the portion sizes. It's become one of our go-to spots. The prices at this electronics store felt very fair for the quality we received. Honestly, hard to find anything to complain about.",Pricing Issue,Low,4,Positive
RC000044,"The queue at the bistro barely moved for a long stretch of time. I am seriously considering never returning and warning others. The line moved painfully slowly, and there was no one managing it properly. I am seriously considering never returning and warning others.",Service Delay,Critical,1,Negative
RC000045,"It looked like the service center was severely understaffed last weekend, only one person was running the whole floor.",Service Delay,Medium,2,Negative
RC000046,"I have to say, the cafe was spotless from the dining area to the restrooms.",Cleanliness Issue,Low,5,Positive
RC000047,"Honestly, my garden salad had a weird sour taste that made me suspect it wasn't fresh anymore. It left me a bit disappointed, honestly. There was an off smell to the club sandwich that made me think it wasn't fresh.",Food Quality,Medium,2,Negative
RC000048,"The manager was aggressive and unprofessional when I asked for a resolution. This crossed a line and needs to be addressed urgently. I'm honestly considering filing a formal complaint over this. On top of that, my payment failed at checkout but the amount was still deducted from my account.",Staff Behavior,Critical,1,Negative
RC000049,"Honestly, the manager was aggressive and unprofessional when I asked for a resolution. This crossed a line and needs to be addressed urgently. In addition, I was charged a random service fee that wasn't disclosed anywhere on the menu.",Staff Behavior,Critical,1,Negative
RC000050,"Honestly, my payment failed at checkout but the amount was still deducted from my account. I expected better, to be honest. In addition, the volume of the background music was way too high for a sit-down meal. It definitely affected the overall experience.",Pricing Issue,Medium,2,Negative
RC000051,"The tea house was reasonably clean, though a couple of tables could have used wiping down. Not bad, but not something I'd rave about either.",Cleanliness Issue,Medium,3,Neutral
RC000052,"What a great experience, the whole team at this barber shop went out of their way to make us feel welcome. I'd definitely recommend this place to friends.",Staff Behavior,Low,5,Positive
RC000053,"The bowling alley used the wrong sauce entirely on my omelette. I am seriously considering never returning and warning others. Also, my order from the amusement park arrived almost two hours after the estimated time. I am seriously considering never returning and warning others.",Food Quality,Critical,1,Negative
RC000054,I ordered the ramen bowl but received something completely different. It definitely affected the overall experience.,Food Quality,Medium,2,Neutral
RC000055,"Honestly, everything we ordered, especially the garden salad, was fresh and packed with flavor. We'll be back again for sure.",Food Quality,Low,4,Positive
RC000056,"The cheesecake was so overcooked it had turned dry and rubbery. It put a damper on what should've been a nice visit. The courier delivery clearly left the noodles on the heat too long, it was practically charred. It put a damper on what should've been a nice visit.",Food Quality,Medium,2,Negative
RC000057,"I've visited a few times before, and the queue at the appliance repair center barely moved for a long stretch of time. Nothing major, but it did stand out a little. We stood in line for ages with no updates on how much longer it would take. Just a small thing, but worth mentioning. As if that wasn't enough, the cinema hall used the wrong sauce entirely on my pancakes. It wasn't a huge deal, but it was noticeable.",Service Delay,Low,3,Neutral
RC000058,"Honestly, the order that arrived was meant for a different table entirely.",Food Quality,Medium,3,Neutral
RC000059,A bad odor from somewhere near the kitchen was noticeable throughout our meal. Multiple things went wrong and it was exhausting. The tea house had a musty smell that made it hard to enjoy the food. It was a pretty disappointing visit overall.,Cleanliness Issue,High,1,Negative
RC000060,"What a great experience, a wonderful visit overall, we'll definitely be back soon. I'd definitely recommend this place to friends.",General Dissatisfaction,Low,5,Positive
RC000061,"A cockroach crawled out from under our table while we were eating. I'm honestly considering filing a formal complaint over this. There were flies swarming around the food display, it was honestly disgusting.",Cleanliness Issue,Critical,1,Negative
RC000062,I really appreciated how warm and helpful the support executive was with our questions.,Staff Behavior,Low,5,Positive
RC000063,"Not going to lie, we were hit with an unexpected packaging charge that wasn't mentioned during ordering. It left me a bit disappointed, honestly.",Pricing Issue,Medium,2,Negative
RC000064,"To be fair, there were way more people than the space could comfortably handle. I was genuinely frustrated by the end of it. The amusement park was massively overcrowded, barely any room to move around.",General Dissatisfaction,High,1,Negative
RC000065,"This was my first time here, and we were charged for two extra french fries that we never received. To make matters worse, I saw a cockroach scurry across the floor near our table. I am seriously considering never returning and warning others.",Pricing Issue,Critical,1,Negative
RC000066,"I really wanted to like this place, but several things went wrong during our visit, from the wait time to the state of our table. I'm honestly considering filing a formal complaint over this. As if that wasn't enough, there was a strange, unpleasant smell in the dining area the whole time.",General Dissatisfaction,Critical,1,Negative
RC000067,Communication from the barber shop was unclear from start to finish.,Staff Behavior,Medium,3,Neutral
RC000068,I ordered tacos for lunch and it showed up well past dinner time.,Service Delay,High,1,Negative
RC000069,"I was pleasantly surprised, I really appreciated how warm and helpful waitress was with our questions. I'd definitely recommend this place to friends.",Staff Behavior,Low,5,Positive
RC000070,"I have to say, the host walked past our table repeatedly without ever checking on us. I expected better, to be honest. I stood at the counter for several minutes before anyone even acknowledged me. It definitely affected the overall experience. On top of that, I ordered fish fillet for lunch and it showed up well past dinner time.",Staff Behavior,Medium,3,Negative
RC000071,"I was charged a random service fee that wasn't disclosed anywhere on the menu. This crossed a line and needs to be addressed urgently. The final bill had extra charges we were never told about beforehand. Adding to the frustration, getting the bill alone took almost 20 minutes after we asked for it.",Pricing Issue,Critical,1,Negative
RC000072,"This was my first time here, and there was an off smell to the cappuccino that made me think it wasn't fresh. In addition, the gastropub used the wrong sauce entirely on my ice cream sundae.",Food Quality,Medium,3,Negative
RC000073,"To be fair, the bakery cafe was reasonably clean, though a couple of tables could have used wiping down.",Cleanliness Issue,Medium,3,Neutral
RC000074,"The biryani was so overcooked it had turned dry and rubbery. I expected better, to be honest.",Food Quality,Medium,3,Negative
RC000075,"To be fair, overall it was an average experience at this department store, nothing stood out much either way. I'd probably give it another shot if I was in the area. A fairly middle-of-the-road visit, some things were good and others just okay. It was a fine experience overall, nothing more nothing less.",General Dissatisfaction,Medium,3,Neutral
RC000076,"The final bill had extra charges we were never told about beforehand. I felt this was completely unacceptable and possibly dangerous. I was charged a random service fee that wasn't disclosed anywhere on the menu. This crossed a line and needs to be addressed urgently. On top of that, the wait time was ridiculous, nearly an hour for a table that was supposedly reserved.",Pricing Issue,Critical,1,Negative
RC000077,"When I raised the issue, the manager was dismissive and even raised their voice at me. This crossed a line and needs to be addressed urgently. The manager refused to listen and was condescending throughout the conversation.",Staff Behavior,Critical,1,Negative
RC000078,"To be fair, the manager refused to listen and was condescending throughout the conversation. I felt this was completely unacceptable and possibly dangerous.",Staff Behavior,Critical,1,Negative
RC000079,"To be fair, my bill had items on it that I never ordered. I was genuinely frustrated by the end of it. The total on the receipt didn't match what we actually ordered at all. Worse still, it took forever for anyone to even come take our order. Multiple things went wrong and it was exhausting.",Pricing Issue,High,1,Negative
RC000080,"This was my first time here, and there was an unexpected delivery fee added at checkout that wasn't shown earlier. This felt like a genuine safety concern, not just bad service. A surprise convenience fee showed up on the final invoice. I am seriously considering never returning and warning others. Worse still, nothing specific stood out as terrible, but the whole visit felt off. I'm honestly considering filing a formal complaint over this.",Pricing Issue,Critical,1,Negative
RC000081,"I was pleasantly surprised, I was really impressed with how well the biryani was prepared, cooked just right.",Food Quality,Low,5,Positive
RC000082,"What a great experience, I was really impressed with how well the masala dosa was prepared, cooked just right.",Food Quality,Low,4,Positive
RC000083,"Not going to lie, the table was sticky and clearly hadn't been cleaned before we sat down. It left me a bit disappointed, honestly. We had to ask staff to clean our table because it was left messy. I expected better, to be honest. Also, the the duty manager seemed to be moving in slow motion, everything took twice as long as it should.",Cleanliness Issue,Medium,2,Neutral
RC000084,"Not going to lie, I really didn't enjoy the ice cream sundae, the seasoning was completely off. It left me a bit disappointed, honestly.",Food Quality,Medium,3,Negative
RC000085,"Honestly, tables were crammed so close together it felt claustrophobic. I left feeling quite upset about the whole thing.",General Dissatisfaction,High,1,Negative
RC000086,The diagnostic center used the wrong sauce entirely on my pasta. Multiple things went wrong and it was exhausting.,Food Quality,High,1,Negative
RC000087,"I really wanted to like this place, but our appointment time was mixed up and we were told to come back later.",Service Delay,High,1,Negative
RC000088,"To be fair, overall it was an average experience at this food court stall, nothing stood out much either way. It didn't blow me away, but it didn't disappoint either. It didn't blow me away, but it didn't disappoint either.",General Dissatisfaction,Low,2,Neutral
RC000089,"This was my first time here, and the overall hygiene standards at this nail studio were seriously lacking. It was a pretty disappointing visit overall.",Cleanliness Issue,High,1,Negative
RC000090,"I was pleasantly surprised, the food court stall was spotless from the dining area to the restrooms.",Cleanliness Issue,Low,5,Positive
RC000091,"To be fair, I noticed several hygiene red flags, from dirty utensils to an unclean prep area. This crossed a line and needs to be addressed urgently.",Cleanliness Issue,Critical,1,Negative
RC000092,"Not going to lie, the bread in my mutton curry was stale and hard, definitely not freshly made. I was genuinely frustrated by the end of it.",Food Quality,High,1,Negative
RC000093,"Not going to lie, a surprise convenience fee showed up on the final invoice. I left feeling quite upset about the whole thing. There was an unexpected delivery fee added at checkout that wasn't shown earlier.",Pricing Issue,High,2,Negative
RC000094,"Honestly, the bowling alley was spotless from the dining area to the restrooms.",Cleanliness Issue,Low,4,Positive
RC000095,"To be fair, the tone the chef used with me was unnecessarily harsh and dismissive. It left me a bit disappointed, honestly.",Staff Behavior,Medium,2,Neutral
RC000096,"This was my first time here, and the overall hygiene standards at this retail store were seriously lacking.",Cleanliness Issue,Critical,1,Negative
RC000097,"I've visited a few times before, and I ordered chicken wings for lunch and it showed up well past dinner time. I left feeling quite upset about the whole thing.",Service Delay,High,1,Negative
RC000098,"When I raised the issue, the manager was dismissive and even raised their voice at me. This crossed a line and needs to be addressed urgently. Instead of resolving the issue, the manager argued with me in front of other customers.",Staff Behavior,Critical,1,Negative
RC000099,"I've visited a few times before, and several things went wrong during our visit, from the wait time to the state of our table. This crossed a line and needs to be addressed urgently. Also, it looked like the car service center was severely understaffed on our first visit, only one person was running the whole floor. I felt this was completely unacceptable and possibly dangerous.",General Dissatisfaction,Critical,1,Negative
RC000100,"The manager personally checked in on us, which was a really nice touch. We'll be back again for sure.",Staff Behavior,Low,5,Positive
RC000101,"A bad odor from somewhere near the kitchen was noticeable throughout our meal. It left me a bit disappointed, honestly. There was a strange, unpleasant smell in the dining area the whole time.",Cleanliness Issue,Medium,3,Negative
RC000102,"The volume of the background music was way too high for a sit-down meal. Nothing major, but it did stand out a little. The music was so loud we could barely hear each other talk. It slightly took away from the experience.",General Dissatisfaction,Low,3,Neutral
RC000103,"All things considered, the bill came out roughly as expected, though a couple of items felt slightly pricey. It didn't blow me away, but it didn't disappoint either. Prices were about what I expected, not a great deal but not overpriced either. It didn't blow me away, but it didn't disappoint either.",Pricing Issue,Low,3,Neutral
RC000104,"From start to finish, the amusement park was spotless from the dining area to the restrooms. We'll be back again for sure.",Cleanliness Issue,Low,4,Positive
RC000105,"Not going to lie, the washroom was in a pretty poor state, no soap and a dirty sink. It was a pretty disappointing visit overall.",Cleanliness Issue,High,2,Negative
RC000106,"I really wanted to like this place, but between the slow service, the mediocre food, and the noise, the whole visit was a letdown. I'm honestly considering filing a formal complaint over this.",General Dissatisfaction,Critical,1,Negative
RC000107,"Honestly, the food court stall was reasonably clean, though a couple of tables could have used wiping down.",Cleanliness Issue,Medium,3,Neutral
RC000108,"The bread in my butter chicken was stale and hard, definitely not freshly made.",Food Quality,High,2,Negative
RC000109,"Overall, it was fine, I don't have strong feelings about it one way or another. I'd probably give it another shot if I was in the area. A fairly middle-of-the-road visit, some things were good and others just okay.",General Dissatisfaction,Low,3,Neutral
RC000110,"The flavors in the strawberry milkshake were spot on, nothing bland or off about it. We'll be back again for sure. Portions were generous and the chicken wings came out hot and perfectly seasoned. Honestly, hard to find anything to complain about.",Food Quality,Low,5,Positive
RC000111,"All things considered, overall it was an average experience at this clothing outlet, nothing stood out much either way. Not bad, but not something I'd rave about either.",General Dissatisfaction,Low,3,Neutral
RC000112,"I have to say, I stood at the counter for several minutes before anyone even acknowledged me.",Staff Behavior,High,1,Negative
RC000113,"This was my first time here, and we stood in line for ages with no updates on how much longer it would take.",Service Delay,Medium,2,Negative
RC000114,"This was my first time here, and the manager was aggressive and unprofessional when I asked for a resolution. I'm honestly considering filing a formal complaint over this. Adding to the frustration, a few small things added up to make the visit disappointing.",Staff Behavior,Critical,1,Negative
RC000115,"Great value for money, especially considering the portion sizes. We'll be back again for sure. We'll be back again for sure.",Pricing Issue,Low,5,Positive
RC000116,"I have to say, the water park was spotless from the dining area to the restrooms. It's become one of our go-to spots.",Cleanliness Issue,Low,4,Positive
RC000117,"I really wanted to like this place, but it took forever for anyone to even come take our order. Multiple things went wrong and it was exhausting.",Service Delay,High,1,Negative
RC000118,"I've visited a few times before, and the manager was aggressive and unprofessional when I asked for a resolution. To make matters worse, the lighting was so dim we could barely read the menu.",Staff Behavior,High,1,Negative
RC000119,"Honestly, my card was declined even though there were sufficient funds, very confusing. It left me a bit disappointed, honestly. The card machine at the nail studio wasn't working properly the whole evening.",Pricing Issue,Medium,2,Negative
RC000120,"To be fair, there were hidden charges on my bill that were never mentioned upfront. This crossed a line and needs to be addressed urgently. I am seriously considering never returning and warning others. Worse still, between the slow service, the mediocre food, and the noise, the whole visit was a letdown. I am seriously considering never returning and warning others.",Pricing Issue,Critical,1,Negative
RC000121,"The manager was aggressive and unprofessional when I asked for a resolution. This felt like a genuine safety concern, not just bad service. Adding to the frustration, the duty manager walked past our table repeatedly without ever checking on us.",Staff Behavior,Critical,1,Negative
RC000122,"Honestly, my order from the service center arrived almost two hours after the estimated time. I felt this was completely unacceptable and possibly dangerous.",Service Delay,Critical,1,Negative
RC000123,"To be fair, the dining area felt oddly dark and gloomy for a dinner spot. It wasn't a huge deal, but it was noticeable. The lighting was so dim we could barely read the menu. Just a small thing, but worth mentioning. Worse still, the chairs were incredibly uncomfortable, hard plastic with no cushioning. It slightly took away from the experience.",General Dissatisfaction,Low,4,Neutral
RC000124,"We waited almost 45 minutes just to get our food at the clinic last weekend. Multiple things went wrong and it was exhausting. We sat there for what felt like forever before the cheesecake finally showed up. Also, the lighting was so dim we could barely read the menu. I don't think I'll be coming back after this.",Service Delay,High,1,Negative
RC000125,The bartender was chatting loudly with coworkers instead of helping customers.,Staff Behavior,Medium,3,Negative
RC000126,"I have to say, it looked like the urgent care center was severely understaffed last night, only one person was running the whole floor.",Service Delay,Low,4,Neutral
RC000127,"To be fair, the boutique inn clearly left the pancakes on the heat too long, it was practically charred.",Food Quality,Low,3,Neutral
RC000128,"I've visited a few times before, and it looked like the service center was severely understaffed last Friday evening, only one person was running the whole floor. I felt this was completely unacceptable and possibly dangerous.",Service Delay,Critical,1,Negative
RC000129,"We tried to get one of the servers's attention multiple times and were completely ignored. I was genuinely frustrated by the end of it. To make matters worse, it looked like the online delivery service was severely understaffed during a family gathering, only one person was running the whole floor.",Staff Behavior,High,1,Negative
RC000130,"Honestly the fish fillet at this lodge tasted pretty mediocre compared to what I expected. It left me a bit disappointed, honestly.",Food Quality,Medium,2,Negative
RC000131,"Honestly, the diagnostic center had clearly overbooked, and we ended up waiting despite having a reservation. It was a pretty disappointing visit overall.",Service Delay,High,2,Negative
RC000132,"This was my first time here, and the music was so loud we could barely hear each other talk. It left me a bit disappointed, honestly. It put a damper on what should've been a nice visit.",General Dissatisfaction,Medium,2,Negative
RC000133,"My paneer tikka had a weird sour taste that made me suspect it wasn't fresh anymore. It was a pretty disappointing visit overall. The bread in my french fries was stale and hard, definitely not freshly made. I was genuinely frustrated by the end of it. In addition, instead of resolving the issue, the manager argued with me in front of other customers.",Food Quality,High,2,Negative
RC000134,"I've visited a few times before, and we got the wrong dishes altogether, not even close to what we ordered. It left me a bit disappointed, honestly. In addition, I have a nut allergy and the omelette came with nuts despite me mentioning it clearly. It left me a bit disappointed, honestly.",Food Quality,Medium,3,Neutral
RC000135,"This was my first time here, and the table was sticky and clearly hadn't been cleaned before we sat down. It slightly took away from the experience.",Cleanliness Issue,Low,3,Negative
RC000136,"I've visited a few times before, and the table was sticky and clearly hadn't been cleaned before we sat down.",Cleanliness Issue,Medium,3,Negative
RC000137,"Nothing wrong with how the stylist treated us, just fairly standard interaction.",Staff Behavior,Low,4,Neutral
RC000138,"I have to say, the music was so loud we could barely hear each other talk. It wasn't a huge deal, but it was noticeable.",General Dissatisfaction,Low,3,Neutral
RC000139,"From start to finish, kudos to the kitchen, the cheesecake was a genuine standout on the menu.",Food Quality,Low,5,Positive
RC000140,"To be fair, getting the bill alone took almost 20 minutes after we asked for it. It was a pretty disappointing visit overall. It took forever for anyone to even come take our order.",Service Delay,High,1,Negative
RC000141,"I have to say, the omelette was undercooked and still pink/raw in the middle, which honestly worried me.",Food Quality,Critical,1,Negative
RC000142,"Not going to lie, the stylist walked past our table repeatedly without ever checking on us. I don't think I'll be coming back after this. To make matters worse, the washroom was in a pretty poor state, no soap and a dirty sink. I left feeling quite upset about the whole thing.",Staff Behavior,High,1,Negative
RC000143,"This was my first time here, and we had a confirmed reservation but the bowling alley had no record of it when we arrived. I was genuinely frustrated by the end of it. Our booking seemed to have vanished from their system entirely. I don't think I'll be coming back after this. On top of that, the overall hygiene standards at this lodge were seriously lacking. It was a pretty disappointing visit overall.",General Dissatisfaction,High,1,Negative
RC000144,"The wait time was ridiculous, nearly an hour for a table that was supposedly reserved. I was genuinely frustrated by the end of it.",Service Delay,High,1,Negative
RC000145,"Not going to lie, between the slow service, the mediocre food, and the noise, the whole visit was a letdown. Multiple things went wrong and it was exhausting. Several things went wrong during our visit, from the wait time to the state of our table. Multiple things went wrong and it was exhausting.",General Dissatisfaction,High,2,Negative
RC000146,"This was my first time here, and we tried to get the delivery agent's attention multiple times and were completely ignored. Adding to the frustration, getting the bill alone took almost 20 minutes after we asked for it. Nothing major, but it did stand out a little.",Staff Behavior,Low,3,Neutral
RC000147,The queue at the hotel barely moved for a long stretch of time. I am seriously considering never returning and warning others.,Service Delay,Critical,1,Negative
RC000148,I ordered the chicken curry but received something completely different. It definitely affected the overall experience.,Food Quality,Medium,4,Neutral
RC000149,"Overall the experience at this urgent care center just felt underwhelming. It left me a bit disappointed, honestly. I expected better, to be honest.",General Dissatisfaction,Medium,2,Negative
RC000150,"We were seated and served promptly, no long lines or delays whatsoever. Honestly, hard to find anything to complain about. Service was fast and efficient from the moment we sat down. It's become one of our go-to spots.",Service Delay,Low,4,Positive
RC000151,"I've visited a few times before, and the dhaba was massively overcrowded, barely any room to move around. It was a pretty disappointing visit overall.",General Dissatisfaction,High,2,Negative
RC000152,"I've visited a few times before, and the manager refused to listen and was condescending throughout the conversation. To make matters worse, we were hit with an unexpected packaging charge that wasn't mentioned during ordering.",Staff Behavior,Critical,1,Negative
RC000153,"To be fair, it was an average chicken curry, got the job done but nothing memorable.",Food Quality,Medium,3,Neutral
RC000154,"I've visited a few times before, and the stylist was outright rude to us when we asked a simple question. It put a damper on what should've been a nice visit.",Staff Behavior,Medium,3,Neutral
RC000155,"I really wanted to like this place, but the bread in my cold coffee was stale and hard, definitely not freshly made. I was genuinely frustrated by the end of it. As if that wasn't enough, service at this repair shop was painfully slow throughout the entire visit.",Food Quality,High,1,Negative
RC000156,"To be fair, delivery boy was on their phone the entire time instead of attending to customers. I left feeling quite upset about the whole thing. As if that wasn't enough, I was honestly shocked at how rudely the host spoke to me over a minor issue. I don't think I'll be coming back after this.",Staff Behavior,High,1,Negative
RC000157,"To be fair, the duty manager was polite enough, though a bit distracted throughout our visit. It was a fine experience overall, nothing more nothing less.",Staff Behavior,Low,4,Neutral
RC000158,"It was fine, I don't have strong feelings about it one way or another. It didn't blow me away, but it didn't disappoint either. Overall it was an average experience at this amusement park, nothing stood out much either way. It was a fine experience overall, nothing more nothing less.",General Dissatisfaction,Low,3,Neutral
RC000159,"Honestly, for the quality, the car service center is way overpriced compared to similar places nearby. This felt like a genuine safety concern, not just bad service. The prices at this theatre feel really steep for what you actually get. This felt like a genuine safety concern, not just bad service.",Pricing Issue,Critical,1,Negative
RC000160,The chicken curry arrived stone cold at our table on our first visit. I left feeling quite upset about the whole thing.,Food Quality,High,1,Negative
RC000161,"This was my first time here, and my bill had items on it that I never ordered. I felt this was completely unacceptable and possibly dangerous.",Pricing Issue,Critical,1,Negative
RC000162,"I was pleasantly surprised, the prices at this salon felt very fair for the quality we received. Honestly, hard to find anything to complain about.",Pricing Issue,Low,5,Positive
RC000163,"To be fair, the the manager seemed to be moving in slow motion, everything took twice as long as it should. This crossed a line and needs to be addressed urgently.",Service Delay,Critical,1,Negative
RC000164,"This was my first time here, and we had to ask staff to clean our table because it was left messy. It put a damper on what should've been a nice visit. The table was sticky and clearly hadn't been cleaned before we sat down. As if that wasn't enough, the chicken curry just didn't taste good at all, quite bland and flavorless. It wasn't what I expected for the price I paid.",Cleanliness Issue,Medium,3,Neutral
RC000165,"Honestly, the prices at this electronics store feel really steep for what you actually get. It slightly took away from the experience. I felt like I overpaid significantly for a fairly average mutton curry.",Pricing Issue,Low,3,Neutral
RC000166,"I was pleasantly surprised, the cafe was spotless from the dining area to the restrooms. We'll be back again for sure.",Cleanliness Issue,Low,5,Positive
